debian_pkg, CPAN_dist, CPAN_vers, N_bugs, N_patches
"libb-hooks-op-ppaddr-perl", "B-Hooks-OP-PPAddr", "0.03", "0", "0"
"libb-hooks-parser-perl", "B-Hooks-Parser", "0.09", "0", "0"
"libb-keywords-perl", "B-Keywords", "1.09", "0", "0"
"libb-perlreq-perl", "rpm-build-perl", "0.74", "0", "1"
"libb-utils-perl", "B-Utils", "0.13", "0", "0"
"libbarcode-code128-perl", "Barcode-Code128", "2.01", "0", "1"
"libbenchmark-progressbar-perl", "Benchmark-ProgressBar", "0.00001", "0", "0"
"libbenchmark-timer-perl", "Benchmark-Timer", "0.7102", "0", "0"
"libbiblio-citation-parser-perl", "Biblio-Citation-Parser", "1.10", "0", "1"
"libbiblio-endnotestyle-perl", "Biblio-EndnoteStyle", "0.05", "0", "0"
"libbio-asn1-entrezgene-perl", "unknown", "1.091", "0", "0"
"libbio-primerdesigner-perl", "Bio-PrimerDesigner", "0.07", "0", "0"
"libbio-scf-perl", "Bio-SCF", "1.03", "1", "0"
"libbit-vector-minimal-perl", "Bit-Vector-Minimal", "1.3", "0", "0"
"libbit-vector-perl", "Bit-Vector", "7.1", "1", "0"
"libboolean-perl", "boolean", "0.26", "0", "0"
"libboulder-perl", "Boulder", "1.30", "0", "2"
"libbrowser-open-perl", "Browser-Open", "0.03", "0", "0"
"libbsd-resource-perl", "BSD-Resource", "1.2904", "0", "0"
"libbusiness-isbn-data-perl", "Business-ISBN-Data", "20081208", "0", "1"
"libbusiness-isbn-perl", "Business-ISBN", "2.05", "0", "0"
"libbusiness-issn-perl", "Business-ISSN", "0.91", "0", "0"
"libbusiness-onlinepayment-ippay-perl", "Business-OnlinePayment-IPPay", "0.06", "0", "1"
"libbusiness-onlinepayment-openecho-perl", "Business-OnlinePayment-OpenECHO", "0.03", "0", "0"
"libbusiness-onlinepayment-payflowpro-perl", "Business-OnlinePayment-PayflowPro", "1.01", "0", "0"
"libbusiness-onlinepayment-paymentech-perl", "Business-OnlinePayment-PaymenTech", "2.04", "0", "0"
"libbusiness-onlinepayment-perl", "Business-OnlinePayment", "3.01", "0", "1"
"libbusiness-paypal-api-perl", "Business-PayPal-API", "0.69", "0", "0"
"libbusiness-tax-vat-validation-perl", "Business-Tax-VAT-Validation", "0.20", "0", "0"
"libc-scan-perl", "C-Scan", "not-uploaded", "0", "0"
"libcache-cache-perl", "Cache-Cache", "1.06", "0", "0"
"libcache-fastmmap-perl", "Cache-FastMmap", "1.36", "0", "0"
"libcache-historical-perl", "Cache-Historical", "0.05", "0", "0"
"libcache-memcached-managed-perl", "Cache-Memcached-Managed", "0.20", "0", "1"
"libcache-memcached-perl", "Cache-Memcached", "1.29", "0", "1"
"libcache-mmap-perl", "Cache-Mmap", "0.11", "0", "0"
"libcache-simple-timedexpiry-perl", "Cache-Simple-TimedExpiry", "0.27", "0", "1"
"libcairo-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Cairo-1.070.tar.gz", "1.070", "0", "1"
"libcalendar-simple-perl", "Calendar-Simple", "1.21", "0", "0"
"libcaptcha-recaptcha-perl", "Captcha-reCAPTCHA", "0.94", "0", "0"
"libcapture-tiny-perl", "Capture-Tiny", "0.10", "0", "0"
"libcarp-always-perl", "Carp-Always", "0.09", "0", "0"
"libcarp-assert-more-perl", "Carp-Assert-More", "1.12", "0", "0"
"libcarp-assert-perl", "Carp-Assert", "0.20", "0", "0"
"libcarp-clan-perl", "Carp-Clan", "6.04", "0", "0"
"libcarp-clan-share-perl", "Carp-Clan-Share", "0.013", "0", "0"
"libcarp-datum-perl", "Carp-Datum", "0.1.3", "0", "1"
"libcatalyst-action-rest-perl", "Catalyst-Action-REST", "0.90", "0", "0"
"libcatalyst-controller-actionrole-perl", "Catalyst-Controller-ActionRole", "not-uploaded", "0", "0"
"libcatalyst-devel-perl", "Catalyst-Devel", "1.31", "0", "0"
"libcatalyst-engine-apache-perl", "Catalyst-Engine-Apache", "1.16", "0", "0"
"libcatalyst-engine-psgi-perl", "Catalyst-Engine-PSGI", "0.12", "0", "1"
"libcatalyst-manual-perl", "Catalyst-Manual", "5.8007", "0", "0"
"libcatalyst-model-cdbi-perl", "Catalyst-Model-CDBI", "0.12", "0", "0"
"libcatalyst-perl", "Catalyst-Runtime", "5.80032", "0", "0"
"libcatalyst-plugin-server-perl", "Catalyst-Plugin-Server", "not-uploaded", "0", "1"
"libcatalyst-plugin-session-store-memcached-perl", "Catalyst-Plugin-Session-Store-Memcached", "not-uploaded", "0", "0"
"libcatalyst-view-tt-perl", "Catalyst-View-TT", "0.36", "0", "0"
"libcatalystx-leakchecker-perl", "CatalystX-LeakChecker", "0.06", "0", "0"
"libcddb-file-perl", "CDDB-File", "1.05", "0", "0"
"libcddb-get-perl", "CDDB_get", "2.27", "1", "0"
"libcddb-perl", "CDDB", "1.220", "0", "1"
"libcdk-perl", "ftp://invisible-island.net/cdk/cdk-perl-20031210.tgz", "4.9.10", "0", "3"
"libcgi-ajax-perl", "CGI-Ajax", "0.707", "0", "0"
"libcgi-application-perl", "CGI-Application", "4.31", "0", "0"
"libcgi-application-plugin-ajaxupload-perl", "CGI-Application-Plugin-AJAXUpload", "0.0.3", "0", "0"
"libcgi-application-plugin-anytemplate-perl", "CGI-Application-Plugin-AnyTemplate", "0.18", "0", "1"
"libcgi-application-plugin-authentication-perl", "CGI-Application-Plugin-Authentication", "0.20", "0", "0"
"libcgi-application-plugin-authorization-perl", "CGI-Application-Plugin-Authorization", "0.07", "0", "1"
"libcgi-application-plugin-tt-perl", "CGI-Application-Plugin-TT", "1.05", "0", "1"
"libcgi-application-server-perl", "CGI-Application-Server", "0.062", "0", "0"
"libcgi-cookie-splitter-perl", "CGI-Cookie-Splitter", "0.02", "1", "0"
"libcgi-formalware-perl", "CGI-Formalware", "1.13", "0", "0"
"libcgi-formbuilder-source-yaml-perl", "CGI-FormBuilder-Source-YAML", "1.0.8", "0", "0"
"libcgi-minimal-perl", "CGI-Minimal", "not-uploaded", "0", "1"
"libcgi-pm-perl", "CGI", "3.53", "0", "2"
"libcgi-session-driver-memcached-perl", "CGI-Session-Driver-memcached", "0.04", "0", "0"
"libcgi-session-expiresessions-perl", "CGI-Session-ExpireSessions", "1.12", "0", "0"
"libcgi-session-perl", "CGI-Session", "4.43", "1", "1"
"libcgi-session-serialize-yaml-perl", "CGI-Session-Serialize-yaml", "4.26", "0", "0"
"libcgi-simple-perl", "CGI-Simple", "1.113", "0", "2"
"libcgi-ssi-perl", "CGI-SSI", "0.92", "0", "1"
"libcgi-untaint-date-perl", "CGI-Untaint-date", "1.00", "0", "0"
"libcgi-untaint-email-perl", "CGI-Untaint-email", "0.03", "0", "0"
"libcgi-untaint-perl", "CGI-Untaint", "1.26", "0", "0"
"libcgi-uploader-perl", "CGI-Uploader", "2.17", "0", "1"
"libcgi-validop-perl", "CGI-ValidOp", "0.56", "0", "0"
"libcgi-xml-perl", "CGI-XML", "0.1", "0", "1"
"libcgi-xmlapplication-perl", "CGI-XMLApplication", "1.1.3", "0", "0"
"libcgi-xmlform-perl", "CGI-XMLForm", "0.10", "0", "1"
"libchart-clicker-perl", "Chart-Clicker", "2.67", "0", "0"
"libchart-gnuplot-perl", "Chart-Gnuplot", "0.15", "0", "0"
"libchart-perl", "Chart", "2.4.1", "2", "2"
"libcheck-isa-perl", "Check-ISA", "0.04", "0", "0"
"libchemistry-elements-perl", "Chemistry-Elements", "1.07", "0", "1"
"libchi-perl", "CHI", "0.47", "0", "2"
"libchild-perl", "Child", "0.009", "0", "0"
"libclass-accessor-children-perl", "Class-Accessor-Children", "0.02", "0", "0"
"libclass-accessor-classy-perl", "Class-Accessor-Classy", "0.9.1", "0", "0"
"libclass-accessor-grouped-perl", "Class-Accessor-Grouped", "0.10002", "1", "0"
"libclass-accessor-lvalue-perl", "Class-Accessor-Lvalue", "0.11", "0", "0"
"libclass-accessor-named-perl", "Class-Accessor-Named", "0.008", "0", "0"
"libclass-accessor-perl", "Class-Accessor", "0.34", "0", "0"
"libclass-adapter-perl", "Class-Adapter", "1.07", "0", "0"
"libclass-autouse-perl", "Class-Autouse", "2.00", "0", "1"
"libclass-base-perl", "Class-Base", "0.03", "0", "0"
"libclass-c3-adopt-next-perl", "Class-C3-Adopt-NEXT", "0.12", "0", "0"
"libclass-c3-componentised-perl", "Class-C3-Componentised", "1.0009", "0", "2"
"libclass-c3-perl", "Class-C3", "0.23", "0", "1"
"libclass-c3-xs-perl", "Class-C3-XS", "0.13", "0", "0"
"libclass-container-perl", "Class-Container", "0.12", "0", "0"
"libclass-data-accessor-perl", "Class-Data-Accessor", "0.04004", "0", "0"
"libclass-data-inheritable-perl", "Class-Data-Inheritable", "0.08", "0", "0"
"libclass-date-perl", "Class-Date", "1.1.10", "0", "0"
"libclass-dbi-abstractsearch-perl", "Class-DBI-AbstractSearch", "0.07", "0", "1"
"libclass-dbi-asform-perl", "Class-DBI-AsForm", "2.42", "0", "2"
"libclass-dbi-fromcgi-perl", "Class-DBI-FromCGI", "1.00", "0", "0"
"libclass-dbi-fromform-perl", "Class-DBI-FromForm", "0.04", "1", "0"
"libclass-dbi-lite-perl", "Class-DBI-Lite", "1.019", "0", "0"
"libclass-dbi-loader-perl", "Class-DBI-Loader", "0.34", "0", "0"
"libclass-dbi-loader-relationship-perl", "Class-DBI-Loader-Relationship", "1.2", "0", "1"
"libclass-dbi-mysql-perl", "Class-DBI-mysql", "1.00", "0", "1"
"libclass-dbi-pager-perl", "Class-DBI-Pager", "0.08", "0", "0"
"libclass-dbi-perl", "Class-DBI", "3.0.17", "2", "0"
"libclass-dbi-pg-perl", "Class-DBI-Pg", "0.09", "0", "1"
"libclass-dbi-plugin-abstractcount-perl", "Class-DBI-Plugin-AbstractCount", "0.08", "0", "0"
"libclass-dbi-plugin-pager-perl", "Class-DBI-Plugin-Pager", "0.561", "0", "1"
"libclass-dbi-plugin-perl", "Class-DBI-Plugin", "0.03", "0", "0"
"libclass-dbi-plugin-retrieveall-perl", "Class-DBI-Plugin-RetrieveAll", "1.04", "0", "0"
"libclass-dbi-plugin-type-perl", "Class-DBI-Plugin-Type", "0.02", "0", "0"
"libclass-dbi-sqlite-perl", "Class-DBI-SQLite", "0.11", "0", "0"
"libclass-dbi-sweet-perl", "Class-DBI-Sweet", "0.10", "0", "1"
"libclass-default-perl", "Class-Default", "1.51", "0", "0"
"libclass-factory-perl", "Class-Factory", "1.06", "0", "0"
"libclass-factory-util-perl", "Class-Factory-Util", "1.7", "0", "0"
"libclass-field-perl", "Class-Field", "0.15", "0", "0"
"libclass-gomor-perl", "Class-Gomor", "1.02", "0", "1"
"libclass-handle-perl", "Class-Handle", "1.07", "0", "0"
"libclass-inner-perl", "Class-Inner", "0.200001", "0", "0"
"libclass-insideout-perl", "Class-InsideOut", "1.10", "0", "1"
"libclass-inspector-perl", "Class-Inspector", "1.25", "0", "1"
"libclass-isa-perl", "Class-ISA", "0.36", "0", "0"
"libclass-load-perl", "Class-Load", "0.06", "0", "0"
"libclass-loader-perl", "Class-Loader", "2.03", "0", "0"
"libclass-makemethods-perl", "Class-MakeMethods", "1.01", "0", "1"
"libclass-meta-perl", "Class-Meta", "0.63", "0", "1"
"libclass-method-modifiers-perl", "Class-Method-Modifiers", "1.06", "0", "0"
"libclass-methodmaker-perl", "Class-MethodMaker", "2.15", "1", "1"
"libclass-mixinfactory-perl", "Class-MixinFactory", "0.92", "0", "0"
"libclass-mop-perl", "Class-MOP", "1.12", "0", "0"
"libclass-multimethods-perl", "Class-Multimethods", "1.70", "0", "1"
"libclass-objecttemplate-perl", "Class-ObjectTemplate", "0.7", "1", "0"
"libclass-ooorno-perl", "Class-OOorNO", "0.011", "0", "0"
"libclass-perl", "CLASS", "1.00", "0", "0"
"libclass-prototyped-perl", "Class-Prototyped", "1.11", "0", "3"
"libclass-returnvalue-perl", "Class-ReturnValue", "0.55", "0", "0"
"libclass-singleton-perl", "Class-Singleton", "1.4", "0", "0"
"libclass-spiffy-perl", "Class-Spiffy", "0.15", "1", "0"
"libclass-std-fast-perl", "Class-Std-Fast", "0.0.8", "0", "0"
"libclass-std-perl", "Class-Std", "0.0.9", "0", "0"
"libclass-std-utils-perl", "Class-Std-Utils", "0.0.3", "0", "0"
"libclass-throwable-perl", "Class-Throwable", "0.10", "0", "0"
"libclass-unload-perl", "Class-Unload", "0.07", "0", "0"
"libclass-whitehole-perl", "Class-WhiteHole", "0.04", "0", "0"
"libclass-xsaccessor-perl", "Class-XSAccessor", "1.11", "0", "0"
"libclone-fast-perl", "Clone-Fast", "0.93", "0", "2"
"libclone-perl", "Clone", "0.31", "1", "0"
"libclone-pp-perl", "Clone-PP", "1.02", "0", "0"
"libclutter-perl", "Clutter", "1.002", "1", "1"
"libcoat-perl", "Coat", "0.334", "1", "1"
"libcoat-persistent-perl", "Coat-Persistent", "0.223", "0", "2"
"libcolor-calc-perl", "Color-Calc", "1.071", "0", "0"
"libcolor-library-perl", "Color-Library", "0.02", "0", "0"
"libcolor-palette-perl", "Color-Palette", "0.091400", "0", "0"
"libcommon-sense-perl", "common-sense", "3.4", "0", "0"
"libcompress-bzip2-perl", "Compress-Bzip2", "2.09", "0", "2"
"libcompress-raw-bzip2-perl", "Compress-Raw-Bzip2", "2.035", "0", "0"
"libcompress-raw-zlib-perl", "Compress-Raw-Zlib", "2.035", "0", "1"
"libconfig-any-perl", "Config-Any", "0.20", "0", "0"
"libconfig-apacheformat-perl", "Config-ApacheFormat", "1.2", "0", "1"
"libconfig-augeas-perl", "Config-Augeas", "0.701", "0", "0"
"libconfig-auto-perl", "Config-Auto", "0.34", "0", "0"
"libconfig-autoconf-perl", "Config-AutoConf", "0.16", "0", "0"
"libconfig-file-perl", "Config-File", "1.50", "0", "0"
"libconfig-gitlike-perl", "Config-GitLike", "1.05", "0", "1"
"libconfig-grammar-perl", "Config-Grammar", "1.10", "0", "0"
"libconfig-ini-perl", "Config-INI", "0.016", "0", "0"
"libconfig-inihash-perl", "Config-IniHash", "3.01.01", "0", "0"
"libconfig-jfdi-perl", "Config-JFDI", "0.065", "0", "0"
"libconfig-json-perl", "Config-JSON", "1.5100", "0", "0"
"libconfig-merge-perl", "Config-Merge", "1.01", "0", "0"
"libconfig-model-approx-perl", "Config-Model-Approx", "1.003", "0", "0"
"libconfig-model-backend-augeas-perl", "Config-Model-Backend-Augeas", "0.109", "0", "0"
"libconfig-model-cursesui-perl", "Config-Model-CursesUI", "1.104", "0", "0"
"libconfig-model-itself-perl", "Config-Model-Itself", "1.224", "0", "1"
"libconfig-model-openssh-perl", "Config-Model-OpenSsh", "1.217", "0", "1"
"libconfig-model-perl", "Config-Model", "1.244", "1", "1"
"libconfig-model-tkui-perl", "Config-Model-TkUI", "1.324", "0", "0"
"libconfig-mvp-perl", "Config-MVP", "2.200001", "0", "1"
"libconfig-mvp-reader-ini-perl", "Config-MVP-Reader-INI", "2.101461", "0", "0"
"libconfig-pit-perl", "Config-Pit", "0.04", "0", "0"
"libconfig-scoped-perl", "Config-Scoped", "0.12", "0", "0"
"libconfig-std-perl", "Config-Std", "0.9", "0", "0"
"libconfig-yaml-perl", "Config-YAML", "1.42", "0", "1"
"libconfigreader-perl", "ConfigReader", "0.5", "0", "2"
"libconfigreader-simple-perl", "ConfigReader-Simple", "1.28", "0", "0"
"libcontext-preserve-perl", "Context-Preserve", "0.01", "0", "0"
"libcontextual-return-perl", "Contextual-Return", "0.003001", "0", "0"
"libconvert-ascii-armour-perl", "Convert-ASCII-Armour", "1.4", "0", "0"
"libconvert-asn1-perl", "Convert-ASN1", "0.22", "1", "0"
"libconvert-binary-c-perl", "Convert-Binary-C", "0.76", "0", "1"
"libconvert-binhex-perl", "Convert-BinHex", "1.119", "1", "1"
"libconvert-color-perl", "Convert-Color", "0.07", "0", "0"
"libconvert-nls-date-format-perl", "Convert-NLS_DATE_FORMAT", "0.02", "0", "0"
"libconvert-pem-perl", "Convert-PEM", "0.08", "1", "0"
"libcoro-perl", "Coro", "5.372", "0", "2"
"libcoy-perl", "Coy", "0.06", "0", "1"
"libcpan-changes-perl", "CPAN-Changes", "0.17", "0", "0"
"libcpan-checksums-perl", "CPAN-Checksums", "2.03", "0", "0"
"libcpan-distnameinfo-perl", "CPAN-DistnameInfo", "0.12", "0", "0"
"libcpan-inject-perl", "CPAN-Inject", "1.13", "0", "0"
"libcpan-meta-perl", "CPAN-Meta", "2.110930", "0", "0"
"libcpan-meta-yaml-perl", "CPAN-Meta-YAML", "0.003", "0", "0"
"libcpan-mini-perl", "CPAN-Mini", "1.111003", "0", "0"
"libcpan-uploader-perl", "CPAN-Uploader", "0.103000", "0", "0"
"libcpandb-perl", "CPANDB", "0.14", "0", "0"
"libcps-perl", "CPS", "0.11", "0", "0"
"libcrypt-blowfish-perl", "Crypt-Blowfish", "2.12", "0", "1"
"libcrypt-cbc-perl", "Crypt-CBC", "2.30", "1", "0"
"libcrypt-des-perl", "Crypt-DES", "2.05", "0", "0"
"libcrypt-dh-gmp-perl", "Crypt-DH-GMP", "0.00009", "0", "1"
"libcrypt-generatepassword-perl", "Crypt-GeneratePassword", "0.03", "0", "0"
"libcrypt-mysql-perl", "Crypt-MySQL", "0.04", "0", "0"
"libcrypt-openssl-bignum-perl", "Crypt-OpenSSL-Bignum", "0.04", "1", "0"
"libcrypt-openssl-dsa-perl", "Crypt-OpenSSL-DSA", "0.13", "0", "3"
"libcrypt-openssl-random-perl", "Crypt-OpenSSL-Random", "0.04", "0", "2"
"libcrypt-openssl-rsa-perl", "Crypt-OpenSSL-RSA", "0.25", "0", "1"
"libcrypt-openssl-x509-perl", "Crypt-OpenSSL-X509", "1.8.2", "0", "0"
"libcrypt-rijndael-perl", "Crypt-Rijndael", "1.08", "0", "1"
"libcrypt-saltedhash-perl", "Crypt-SaltedHash", "0.06", "0", "0"
"libcrypt-simple-perl", "Crypt-Simple", "0.06", "0", "0"
"libcrypt-twofish-perl", "Crypt-Twofish", "2.12", "0", "0"
"libcss-dom-perl", "CSS-DOM", "0.14", "0", "0"
"libcss-minifier-perl", "CSS-Minifier", "0.01", "0", "0"
"libcss-minifier-xs-perl", "CSS-Minifier-XS", "0.07", "0", "0"
"libcss-packer-perl", "CSS-Packer", "1.000001", "0", "0"
"libcss-squish-perl", "CSS-Squish", "0.09", "0", "0"
"libcss-tiny-perl", "CSS-Tiny", "1.19", "0", "0"
"libcurses-perl", "Curses", "1.28", "0", "2"
"libcurses-ui-perl", "Curses-UI", "0.9607", "2", "2"
"libcurses-ui-poe-perl", "Curses-UI-POE", "not-uploaded", "0", "0"
"libcurses-widgets-perl", "CursesWidgets", "1.997", "0", "2"
"libcvs-perl", "Cvs", "0.07", "0", "1"
"libdancer-perl", "Dancer", "1.3040", "0", "1"
"libdancer-plugin-database-perl", "Dancer-Plugin-Database", "1.23", "0", "1"
"libdanga-socket-perl", "Danga-Socket", "1.61", "0", "0"
"libdata-alias-perl", "Data-Alias", "1.14", "0", "0"
"libdata-amf-perl", "Data-AMF", "0.09", "0", "0"
"libdata-dump-perl", "Data-Dump", "1.19", "0", "0"
